Company,Sector,Address,Contact,Email,Link
DeepSight AI Labs ,Security and Safety - Video Surveillance,"Bengaluru,  India",,"nishant@deepsightlabs.com,rakesh@deepsightlabs.com,info@deepsightlabs.com",https://deepsightlabs.com/contact-us/
EyeROV IROV TECHNOLOGIES PVT LTD,Infrastructure Transport  Environment Clean Tech,"Ernakulam,  India","+917418596753,+91 6282355107,+91 8075770558,6282355107,9037118509","scrollreveal@4.0,bootstrap@5.0,sales@eyerov.com,Xyz@gmail.com,careers@eyerov.com,Xyz@gmail.in,info@eyerov.com",https://www.eyerov.com/contact-us
Brahmaputra Fables,Rural livelihoods and inclusion by digital technology,"Kamrup Metropolitan,  India",086380 59258,brahmaputrafables@gmail.com,https://brahmaputrafables.in/contact/
MY3DSELFIE ,3D Technology and 3D Printing,"Kamrup Metropolitan,  India","202,00","business@my3dselfie.com,contact@my3dselfie.com,reseller@my3dselfie.com",https://www.my3dselfie.com/pages/contact-us-1
Clavictor Academy Pvt. Ltd.,Education,"Sundargarh,  India",+91-6370518232,contact@clavimate.com,https://www.clavimate.com/contact
Greens and more,HEALTH FOOD,"Hyderabad,  India",+91 9100 348 670,"ceo@greensandmore.in,contact@greensandmore.in",https://www.greensandmore.in/contact-us/
ANTAR IoT Private Limited,Urban Tech,"Visakhapatnam,  India",1800 100 1021,sales@antarsmarthomes.com,https://www.antarsmarthomes.com/contact.php
GoBikes,Infrastructure Transport,"Lucknow,  India","+91-8448444897,00",,https://gobikes.co.in/contact-us
Bevywise Networks,Manufacturing,"Bengaluru,  India","+91 98407 87678,2021,+1 (707) 879 8999",,https://www.bevywise.com/contact-us.html
Doorastha Analytics Pvt Ltd,Environment Clean Tech  Clean Energy Solution,"East Delhi,  India",,"doorasthaanalytics@gmail.com,info@doorastha.com",http://www.doorastha.com/contact-us-2/
Yantranet Technologies Private Limited,Information Technology - Advertising,"Visakhapatnam,  India",,,https://www.yantranet.com/contact-us
Dimension NXG,Education  AR VR,"Thane,  India","0-5,+91 98193-67939,51-500",hello@ajnalens.com,https://www.ajnalens.com/contact-us/
Ignitarium Technology Solutions Pvt. Ltd,Deep Learning - Multimedia,"Ernakulam,  India"," +81-45-350-1757 ,+91 484 4876089,+1 512 640 3488,+91-80-42054217,+1-512-669-9214, +81-901-707-4661,+91 80 42054217","hr@ignitarium.com,careers@ignitarium.com,info@ignitarium.com,business@ignitarium.com",https://stagingly.com/ignitarium/contact-us/
Phoenix Robotix Pvt. Ltd.,Environment Clean Tech  Industrial IoT Enterprise Tech,"Sundargarh,  India","+91-7077711155 ,+91-7008387008",contact@phoenixrobotix.com,https://phoenixrobotix.com/contact-us
Arrelic Reliability Private Limited,Agriculture  Industrial IoT,"Khordha,  India","+91 9937 265 750,+91 9861 914 400,1800 889 6350,+91 9861 914 310,1800 890 6250","digital@arrelic.com,media@arrelic.com,info@arrelic.com,careers@arrelic.com,pdm@arrelic.com,webmaster@arrelic.com,care@arrelic.com,info@relibityq.com,blogs@arrelic.com,consulting@arrelic.com,invest@arrelic.com,training@arrelic.com,analytics@arrelic.com",https://www.arrelic.com/contacts
PuREnergy Pvt Ltd,Infrastructure Transport  Environment Clean Tech,"Sangareddy,  India",,,https://pureev.in/contact/
PuREnergy Pvt Ltd,Infrastructure Transport  Environment Clean Tech,"Sangareddy,  India",,,https://pureev.in/contact/index.html
Circle of Life Healthcare Pvt Ltd,Healthcare,"New Delhi,  India",,hello@mycol.in,https://www.mycol.in/contact-us/
Mpover India Tyre eService and AMC Pvt Ltd,Tyre and Bike AMC through Digital Technology,"Chennai,  India","+91 9566170179,
          +91 9600165179",info@mpoverindia.com,https://www.mpoverindia.com/contact-us.html
Happy Reliable Surgeries Pvt. Ltd.,Healthcare,"Bengaluru,  India",+91 80 8870 9719,info@hrsnavigation.com,https://hrsnavigation.com/contact-us/
Ithink Logistics,Infrastructure Transport,"Mumbai Suburban,  India","351,591,680,93,1-340,60,590,1-264,264,55,377,423,45,973,298,62,356,371,686,966,223,962,507,967,265,36,592,1-876,971,212,1-784,32,380,1-268,240,880,375,886,299,968,65,1-869,231,597,373,94,261,254,41,389,263,509,98,245,508,86,233,598,241,95,216,56,43,370,221,244,53,64,692,253,1-246,676,353,1-670,290,234,856,381,1-242,687,995,996,249,682,961,227,239,33,229,593,267,960,963,268,675,503,238,688,596,970,31,52,297,850,679,20,852,251,224,505,57,689,90,386,677,354,44,374,291,502,1-758,420,1-284,260,230,248,225,220,681,599,246,972,352,595,82,594,998,977,501,1-671,1-684,993,40,672,359,34,222,974,357,1-868,678,1-649,226,250,242,91,504,27,54,690,500,674,385,256,46,49,48,39,1-473,964,228,266,994,685,372,1-664,63,992,255,379,30,853,691,262,269,855,84,232,81,61,1-441,976,378,66,58,355,235,211,213,236,358,965,47,387,683,506,51,257,243,376,237,92,252,218,673,1-345,350,421,258,1-767,975",example@mail.com,https://www.ithinklogistics.com/contact
WiSig Networks Pvt Ltd,5G and IoT,"Sangareddy,  India",,kkuchi@wisig.com,https://www.wisig.com/contact-us
Unilogic Technologies Private Limited,Industrial Automation,"Coimbatore,  India"," +91 422 257 1350,
+91 96598 80524",info@unilogic.in,https://www.unilogic.in/contact-us/
LectureNotes Technologies Pvt Ltd,Education,"Khordha,  India",751024,support@lecturenotes.in,https://lecturenotes.in/contact-us?utm_source=footer&utm_medium=web&utm_campaign=contactus_page
KloudPortal ,AI powered CRM,"Hyderabad,  India","+91 92991 52641,+1 949 505 8893,+91 9299152641",contactus@kloudportal.com,https://www.kloudportal.com/contact-us/
TrakitNow Technologies Pvt Ltd,Healthcare  Infrastructure Transport  Smart Cities,"Hyderabad,  India","+1 (803) 638-8471, +91- (733) 7444978, +1 (803) 638-8471,
+91 (120) 4804900,+91- (733) 7444978","contact@TrakItNow.com,support@trakitnow.com,sales@trakitnow.com,contact@trakitnow.com",https://www.trakitnow.com/contact/
Brishti Technologies Pvt Ltd,Education,"Kolkata,  India",,support@learnpick.in,https://www.learnpick.in/contact
AlmaShines Technologies Private Limited,Education,"Ahmedabad,  India",+91 851 160 4412,"Raleway_2@2x.png,white@2x.png,info@almashines.com",https://www.almashines.io/contact-us/
Tericsoft Technology Solutions Pvt Ltd.,Digital Transformation,"Hyderabad,  India",,info@tericsoft.com,https://tericsoft.com/contact/
Cybsky  Cyberambassador Solutions Pvt Ltd.,Digital Security,"Nashik,  India",,info@cyberambassador.co,https://www.cyberambassador.co.in/contactus
Uengage Services Private Limited,Digitisation of small businesses,"Panchkula,  India",+91-8621970000,"james@bond.com,reach@uengage.in",https://www.uengage.in/contact-uengage
Calligo Technologies Pvt Ltd,Artificial Intelligence and BigData Analytics,"Bengaluru,  India", +91-080-26542726,info@calligotech.com,https://calligotech.com/contact/
Uengage Services Private Limited,Digitisation of small businesses,"Panchkula,  India",+91-8621970000,reach@uengage.in,https://www.uengage.in/contactless-ordering
WeMakeScholars Edtech Pvt Ltd,Education  Financial Inclusion,"Hyderabad,  India",,somebody@example.com,https://www.wemakescholars.com/contactus
Kitbag Tech Private Limited,Education,"North West Delhi,  India","+91 92100 64691,+91 92100
64691 ",,https://livolearn.com/contact-us
De corporate Consulting pvt ltd,Human resources,"Panchkula,  India",,,https://www.dccpl.in/contacts
Eyedentify Systems Private Limited,Infrastructure Transport,"Hyderabad,  India", +91 8008263311,"dom@16.13,react@16.13,polyfill@5.0,lodash@4.17,bundle@3.2,sales@eyedentify.ai",https://www.eyedentify.ai/contact
iDream Education,Education,"Gurugram,  India","+91 9888227293,+91 9592296975","p@idreameducation.org,share@idreameducation.org",https://www.idreameducation.org/contactus
Three Axis Engineering Services Pvt Ltd,Mechanical Engineering Services,"Dharwad,  India",580031,"info@3axis.net,qprems@gmail.com",https://www.3axis.co.in/contact
METAPHOR NETWORKS PRIVATE LIMITED,Education,"Khordha,  India"," +91-9348265522,+91-674-2747555",info@metaphornetworks.com,https://www.metaphornetworks.com/contact.php
GoFloaters A unit of SMBSure Business Solutions Private Limited,Infrastructure Transport  Ecommerce marketplace for work spaces,"Chennai,  India",,support@gofloaters.com,https://gofloaters.com/contact-us/
Vizara Technologies Private Limited,AR VR and Information Technology,"South Delhi,  India","+91 70731 75130,+91 70731 75130 ","connect@vizaratech.com,sales@vizaratech.com",https://www.vizaratech.com/contact-us
EstateMan,Real estate software,"Jaipur,  India",+91 8696828234,info@estatemanservice.in,https://www.estatemanservice.in/contact-us
AdstringO Software Private Limited,Information Technology,"Mumbai Suburban,  India", +91-8828017636,"info@adstringo.in,info@adStringO.in,sales@adStringO.in,sales@adstringo.in",http://adstringo.in/contactus.html
Safal Staratup,Business Consulting,"Pune,  India",,"ask@safalstartup.com,editor@safalstartup.com",https://www.safalstartup.com/contact-us/
Chromosis Technologies Pvt Ltd,Software Development,"Dharwad,  India", +91 - 9886250179,"sales@chromosis.com,support@chromosis.com,info@chromosis.com",http://chromosis.com/contact.php
Cryptappz Technologies LLP,Healthcare  Industrial Automation and Instrumentation,"Kolkata,  India","+91 82409 35949 ,+91 97480 38498,+91 97480-38498,+91 82409-35949","info@dsngrid.com,info@cryptappz.com,sales@cryptappz.com",https://cryptappz.com/contact
pharos softtech pvt ltd,hospitality,"Khordha,  India",+91 99370 37568,info@pharostec.com,https://pharoslife.in/contact-us-2/
Tek Cube Pvt Ltd,Cyber Security,"Hyderabad,  India",(+91) 855 594 1404,,https://wesecureapp.com/contact/
muuvr,Infrastructure Transport  Truck logistics,"Kamrup Metropolitan,  India",+91 99545 40493,muuvrlogistics@gmail.com,https://www.muuvr.in/contact/
DronaMaps Private Limited,Agriculture  Drones,"Indore,  India",,,https://dronamaps.com/contactus/contactus
Anextech Electronics Manufacturing Pvt. Ltd.,Electronics Manufacturing,"Bengaluru,  India","+91- 80- 42120774,6(600)123-456",info@anextech.co,https://www.anextech.co.in/contact-form.html
Robokart,Education,"Mumbai City,  India",9892227735,"robokart@gmail.com,care@robokart.com,ritesh@robokart.com",https://robokart.com/contact
WiJungle,Cybersecurity,"Jaipur,  India","+91 9119119190,+91 911-911-9190",911@wijungle.com,https://www.wijungle.com/contact.php
MMRFIC TECHNOLOGY PRIVATE LIMITED ,communications and radar system in millimetric wave,"Bengaluru,  India", 080 67431226,info@mmrfic.com,https://www.mmrfic.com/contact-us.php
OLatus Systems Private Limited,Research and Customised Product development in Electronics,"Kamrup Metropolitan,  India","(+91) 9864 220 960,
  09864220960, 09864220960","support@olatus.com,sales@olatus.com",https://www.olatus.com/contact-us/
Green Agrevolution Private Limited ,Agriculture,"Gurugram,  India",,contact@agrevolution.in,https://agrevolution.in/contact-us
Microscale Technology OPC pvt LTD,IT Telecom Storage Software services,"Bengaluru,  India", +91-8296481278 ,info@microscaletech.com,http://www.microscaletech.com/contact-us.html
Indus OS,Enabing Smartphones for Regional India,"Mumbai City,  India","+022 45101451,+9122 45101451","grievances@indusos.com,info@indusos.com",https://www.indusos.com/contact-us/
Signzy Technologies Private Ltd.,Regtech,"Mumbai City,  India",,,https://signzy.com/contact-us/
PurpleBits Infosystems Pvt Ltd,Healthcare,"Vadodara,  India"," 81786 88392, 99099 03539",,https://www.purpledocs.com/contact-us/
Invilogic Software PVT LTD,,"Hyderabad,  India",,info@invilogic.com,https://www.invilogic.com/contact.html
Wimera Systems Pvt Ltd,Industrial IoT,"Bengaluru,  India",,info@wimerasys.com,https://www.wimerasys.com/contact/
NetObjex (India) Pvt. Ltd.,Financial Inclusion  Smart city,"Thane,  India","+1(855) 928-2283,(855) 928-2283","hr@netobjex.com,menu@2x.png,info@netobjex.com,sales@netobjex.com",https://www.netobjex.com/contact-us
Rabbit and Tortoise Technology Solutions,Education  Information Technology Artificial Intelligence,"Pune,  India", +91 20 27012345 ,info@rnt.ai,https://www.rabbitandtortoise.com/contactus.html
Zimyo,Financial Inclusion,"Gurugram,  India",,sales@zimyo.com,https://www.zimyo.com/contact-us/
Synergy Teletech Private Limited,Environment Clean Tech  Clean Energy Solution,"Gautam Buddha Nagar,  India",,"info@synergyteletech.com,web@gmail.com",https://www.synergyteletech.com/contact
Aadiwasi JanJagruti,Creating social awareness and sustainable livelihood,"Nandurbar,  India",,"aadiwasijanjagruti@gmail.com,info@aadiwasijanjagruti.org",https://www.aadiwasijanjagruti.org/contact/
MOBISMART CARD TECHNOLOGY P LTD,smartcard manufacturing,"Kanchipuram,  India","+91-44-67312000,+91-44-42347872","ceo@mobismartcard.com,info@mobismartcard.com",https://www.mobismartcard.com/contact.php
SenseGiz Technologies Pvt Ltd.,Industrial IoT,"Belagavi,  India",0831-3500101,enquiry@sensegiz.com,https://sensegiz.com/contact-us/
Gamut Analytics Private Limited,Financial Inclusion  Languages and Speech AI,"Pune,  India",(+91) 8618064285,hello@saarthi.ai,https://saarthi.ai/contact-us/
Gamut Analytics Private Limited,Financial Inclusion  Languages and Speech AI,"Pune,  India",(+91) 8618064285,hello@saarthi.ai,https://saarthi.ai/contact-center-glossary/
anyEMI Online Services Private Limited,Financial Inclusion,"Visakhapatnam,  India"," (+91) 8913511677 ,(+91) 8008615500","info@anyemi.com,info@anyEMI.com",https://www.anyemi.com/contact
Optimized Electrotech Pvt Ltd,Defense Electronics,"Ahmedabad,  India","+91 79 30080808, 079 2970 7308","business@optimizedelectrotech.com,sandeep@optimizedelectrotech.com",https://www.optimizedelectrotech.com/contact
SatSure Analytics India Pvt. Ltd. ,Agriculture  Financial Inclusion  Environment Clean Tech,"Bengaluru,  India", +41 71 845 13 76 ,info@satsure.co,https://satsure.co/contact.html
Aviconn Solutions Pvt Ltd,Infrastructure Transport  Environment Clean Tech,"Gurugram,  India",+91 124-4364600,contact@aviconn.in,http://aviconn.in/contact-us/
Chipspirit,VLSI Design and Semiconductors,"Bengaluru,  India",9500093999,info@chipspirit.com,https://www.chipspirit.com/contact-us.php
NOVA GLOBAL DESIGN SPACE SOLUTIONS PVT LTD.,Clean Energy Solution,"Bengaluru,  India",,,https://novaglobal.in/contact-us/
Soulpage IT Solutions,Healthcare  Education  Financial Inclusion  Infrastructure Transport  Clean Energy Solution,"Hyderabad,  India","+(123)-456-7890,+91 9032334488","contact@wellinor.com,contact@soulpageit.com,europe@soulpageit.com,middleeast@soulpageit.com",https://soulpageit.com/contact-us/
Legalkart,Legal Technology - Artificial Intelligence,"Gurugram,  India",+91-8448445049,"gijgo@1.9,info@legalkart.com,js@1.16",https://www.legalkart.com/Lk-contact-us
Anvation Labs Private Limited,,"Hyderabad,  India",,"buildwithus@anvationlabs.com,contactus@anvationlabs.com",https://anvationlabs.com/contact-us/
